text,outcome,stage
"Tôi bị khát nước và đi tiểu thường xuyên. Tôi thường bị khô miệng và họng. Gần đây tôi thường thấy đói và thèm ăn nhiều hơn",1,1
"Cơ thể tôi run rẩy. Khứu giác và vị giác yếu đi, và tôi thấy kiệt sức. Thỉnh thoảng tôi bị đánh trống ngực hoặc mạch đập nhanh",1,2
"hay thấy ngứa ran ở lòng bàn chân, bàn tay",1,3
"tôi thấy nước tiểu có màu hơi hồng, giống như có lẫn máu",0,0
"tôi thấy kiến bu quanh nước tiểu của mình ở nhà vệ sinh",1,2
"Bắp chân tôi bị chuột rút khi đi bộ hoặc đứng lâu. Có các vết bầm tím trên bắp chân làm tôi lo lắng. Tôi thấy mệt rất nhanh",0,0
"cân nặng ổn định suốt nhiều tháng qua",0,0
"Miệng và họng tôi bị khô. Thêm vào đó, tôi ngày càng đói bụng. Tuy nhiên, tôi có những đợt kiệt sức định kỳ",1,1
"Vết thương của tôi đang lành chậm hơn dạo này. Chân và tay tôi đang châm chích và trở nên tê bì. Tôi cảm thấy thực sự mong manh",1,3
"Thỉnh thoảng tôi thấy chóng mặt nhẹ sau bữa ăn trưa.",0,0
"Tôi cảm thấy uể oải và thiếu năng lượng dù ngủ đủ.",1,1
"Dạo này tôi thấy ăn xong rất nhanh đói lại, nhưng không tăng kg",1,1
"Tôi hay bị khát nhẹ, đặc biệt là sau khi ăn đồ ngọt",1,1
"Cảm giác hay buồn ngủ dù ngủ đủ giấc",1,1
"Gần đây, cơn đau ở bắp chân diễn ra liên tục và tệ hơn khi tôi đứng hoặc đi lâu. Chân tôi bắt đầu sưng và vài mạch máu nổi khá rõ",0,0
"Tĩnh mạch ở chân gây khó chịu khiến tôi khó ngủ vào ban đêm. Tôi không hiểu tại sao. Tôi bị chuột rút khi chạy nước rút",0,0
"Chân tôi gây nhiều khó chịu khi tập thể dục. Tôi hay bị chuột rút và các mạch máu trở nên khá rõ",0,0
"da vùng cổ và nách tự nhiên bị thâm đen và dày lên dù kỳ cọ rất kỹ",1,1
"cứ đến tầm 10 giờ sáng là tay chân bủn rủn, vã mồ hôi lạnh phải kiếm gì ăn gấp",1,1
"mình thích đi đêm",0,0
"Vết thương của tôi lành chậm và tốc độ hồi phục giảm. Cả tay và chân tôi đều bị tê và có cảm giác châm chích",1,3
"Tôi gặp khó khăn khi thở, nhất là khi tập thể dục. Tôi bị bốc hỏa và đổ mồ hôi bất ngờ. Tôi bị nhiễm nấm men rất nhiều",1,3
"Vì bị thừa cân, tôi thấy chân mình bị sưng và mạch máu lộ rõ hơn bình thường. Tình trạng sưng có vẻ tệ hơn theo thời gian",0,0
"Gần đây tôi bị rụng tóc nhiều bất thường",0,0
"Tôi rất khó thở và cảm thấy buồn nôn liên tục. Tôi cũng bị đau bụng nhẹ. Đôi khi cảm giác rất đáng sợ",0,0
"Tôi hắt hơi liên tục và bị ho khan. Các nhiễm trùng có vẻ không lành, và tôi bị đánh trống ngực. Họng tôi thỉnh thoảng đau, nhưng thường sẽ đỡ hơn",1,3
"thấy hay buồn ngủ, đặc biệt là buồn ngủ sau khi ăn",1,1
"cảm thấy mệt mỏi không có sức, chắc do làm việc nhiều",0,0
"vết thương ở chân mấy tuần rồi mà không chịu lành",1,3
"Miệng và họng tôi bị khô. Thêm vào đó, tôi ngày càng hay đói bụng. Nhưng thỉnh thoảng, tôi cảm thấy khá kiệt sức",1,1
"Mắt tôi bị mờ và cảm giác như đang tệ đi. Tôi liên tục mệt mỏi và kiệt sức. Thỉnh thoảng tôi cũng bị choáng váng và chóng mặt cấp tính",1,2
"Tôi gặp khó khăn khi tập trung và cảm xúc dao động. Đôi khi não tôi có vẻ mờ mịt, khiến tôi khó hoàn thành ngay cả những việc vặt đơn giản",1,2
"Mắt tôi nhìn mờ hẳn đi, phải đeo kính mới đọc được chữ.",1,3
"Tôi ăn như hạm đội mà vẫn đói.",1,2
"Tôi bị trật khớp cổ tay khi chơi thể thao hôm qua",0,0
"Các mạch máu nổi rõ trên bắp chân khiến tôi tự ti và xấu hổ. Tôi tin vấn đề là do tôi bị thừa cân",0,0
"Vùng da quanh tĩnh mạch chân bị khô và bong tróc. Có vẻ như có vết bầm lớn và chân tôi bắt đầu sưng",0,0
"Tôi bị ngứa dữ dội khắp da, cảm giác như phát điên. Tôi cũng có vết phát ban đỏ và bị viêm",0,0
"Cơn ngứa dữ dội, ớn lạnh, buồn nôn và sốt cao đang hành hạ tôi. Bên cạnh đau đầu, tôi cũng đổ mồ hôi rất nhiều. Cơ bắp tôi khá đau và tôi thấy ốm yếu",0,0
"Cùng với việc gãi ngứa liên tục, ớn lạnh, buồn nôn và sốt cao, tôi cũng cảm thấy rất không khỏe. Cùng với đau đầu và đổ mồ hôi quá mức, cơ bắp tôi đau nhiều và tôi thấy nôn nao",0,0
"Tôi bị sốt cao, ớn lạnh và ngứa dữ dội. Thêm vào đó, tôi bị đau đầu và đổ mồ hôi nhiều. Cơ bắp đau nhức và tôi thấy buồn nôn",0,0
"vừa thay kính cận tháng trước mà tháng này lại thấy mờ, độ mắt nhảy lung tung",1,2
"đi toilet xong chưa kịp xả nước thì thấy kiến bu đầy vào bồn cầu",1,2
"mình hay đi chơi đêm",0,0
